mes,uf,de_type,freight_id,vehicle,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon
2025-01-01,PR,Diária,136789,Carreta,4270,305.0,14,sim,16.0,17.0
2025-01-01,ES,Diária,136799,Vanderleia,4270,305.0,14,sim,7.0,2.0
2025-01-01,SP,Diária,136811,Carreta,3720,372.0,10,sim,1.0,1.0
2025-01-01,MG,Diária,136820,Vanderleia,6405,305.0,21,sim,13.0,12.0
2025-01-01,SP,Diária,136866,Rodotrem,5625,375.0,15,sim,1.0,1.0
2025-01-01,SP,Diária,136874,Carreta,2135,305.0,7,sim,14.0,8.0
2025-01-01,PR,Diária,136881,Carreta,610,305.0,2,sim,8.0,10.0
2025-01-01,SP,Diária,136885,Rodotrem,5625,375.0,15,sim,3.0,39.0
2025-01-01,SP,Diária,136886,Rodotrem,5625,375.0,15,sim,4.0,44.0
2025-01-01,SP,Diária,136887,Rodotrem,5625,375.0,15,sim,11.0,24.0
2025-01-01,SE,Diária,136896,3/4,660,220.0,3,sim,5.0,2.0
2025-01-01,RJ,Coleta/Entrega,136903,Toco,920,230.0,4,sim,10.0,2.0
2025-01-01,RJ,Coleta/Entrega,136905,Toco,1610,268.3333333333333,6,nao,8.0,1.0
2025-01-01,RS,Diária,136928,Carreta,610,305.0,2,sim,15.0,4.0
2025-01-01,SC,Coleta/Entrega,136930,Carreta,325,325.0,1,nao,26.0,51.0
2025-01-01,SP,Diária,136936,Rodotrem,750,375.0,2,sim,2.0,4.0
2025-01-01,MG,Ajudante,136955,,150,150.0,1,nao,10.0,3.0
2025-01-01,SC,Diária,136960,Carreta,915,305.0,3,nao,2.0,1.0
2025-01-01,SC,Diária,136964,Carreta,4290,330.0,13,nao,4.0,4054.0
2025-01-01,SP,Coleta/Entrega,136969,Toco,250,250.0,1,sim,3.0,1.0
2025-01-01,SP,Diária,136977,Carreta,3720,372.0,10,sim,1.0,1.0
2025-01-01,SP,Ajudante,136991,,240,120.0,2,sim,4.0,1.0
2025-01-01,SC,Diária,136992,Carreta,610,305.0,2,nao,4.0,1.0
2025-01-01,MG,Diária,136998,Carreta,7015,305.0,23,sim,11.0,24.0
2025-01-01,SP,Diária,137009,Toco,230,230.0,1,sim,5.0,37.0
2025-01-01,SC,Diária,137012,Carreta,1020,340.0,3,sim,12.0,1444.0
2025-01-01,PE,Coleta/Entrega,137014,3/4,440,220.0,2,sim,10.0,1.0
2025-01-01,RS,Coleta/Entrega,137019,Bi-Truck,2100,300.0,7,sim,12.0,2.0
2025-01-01,MG,Ajudante,137023,,150,150.0,1,sim,8.0,3.0
2025-01-01,MG,Ajudante,137024,,150,150.0,1,sim,11.0,3.0
2025-01-01,SP,Coleta/Entrega,137042,3/4,660,220.0,3,sim,13.0,3.0
2025-01-01,SP,Ajudante,137044,,240,120.0,2,sim,20.0,2597.0
2025-01-01,SP,Coleta/Entrega,137048,Vanderleia,305,305.0,1,nao,13.0,2.0
2025-01-01,SP,Ajudante,137049,,200,100.0,2,sim,9.0,24.0
2025-01-01,MG,Diária,137052,Carreta,6710,305.0,22,sim,23.0,1071.0
2025-01-01,PR,Coleta/Entrega,137054,Manobrista,530,265.0,2,sim,12.0,2.0
2025-01-01,SP,Coleta/Entrega,137057,Truck,260,260.0,1,sim,10.0,2.0
2025-01-01,SP,Coleta/Entrega,137059,3/4,440,220.0,2,sim,12.0,2.0
2025-01-01,MS,Ajudante,137064,,745,124.16666666666667,6,nao,8.0,4.0
2025-01-01,SP,Ajudante,137065,,1530,170.0,9,sim,11.0,2.0
2025-02-01,PR,Coleta/Entrega,137066,Truck,1560,222.85714285714286,7,nao,8.0,47511.0
2025-01-01,SP,Diária,137068,Carreta,610,305.0,2,nao,17.0,14.0
2025-01-01,SP,Ajudante,137069,,125,125.0,1,nao,1.0,1.0
2025-01-01,SP,Coleta/Entrega,137071,Toco,1380,230.0,6,sim,8.0,1.0
2025-01-01,SP,Coleta/Entrega,137073,Bitrem,375,375.0,1,nao,18.0,237.0
2025-01-01,SP,Coleta/Entrega,137074,Bitrem,375,375.0,1,sim,15.0,239.0
2025-01-01,SP,Coleta/Entrega,137075,Bitrem,750,375.0,2,sim,8.0,4.0
2025-01-01,SP,Ajudante,137081,,240,120.0,2,sim,4.0,3.0
2025-01-01,SC,Coleta/Entrega,137083,Toco,2860,260.0,11,sim,11.0,2.0
2025-01-01,SC,Coleta/Entrega,137084,Toco,1300,260.0,5,sim,6.0,2.0
2025-01-01,SC,Coleta/Entrega,137086,Toco,1040,260.0,4,sim,10.0,1.0
2025-01-01,SP,Ajudante,137091,,125,125.0,1,nao,5.0,4.0
2025-01-01,RS,Ajudante,137094,,290,290.0,1,nao,13.0,789.0
2025-01-01,PR,Coleta/Entrega,137111,Rodotrem,1500,375.0,4,sim,10.0,3.0
2025-01-01,SP,Diária,137125,3/4,451,225.5,2,sim,26.0,15.0
2025-01-01,PR,Diária,137128,Vanderleia,1220,305.0,4,sim,19.0,19.0
