mes,uf,de_type,freight_id,price,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso,resultado,esforco,eficiencia
2025-02-01,SP_RM,Coleta/Entrega,142636,799,3,1,7.0,1.0,SP_RM,1,0.7823652663758459,0.23536102981595822,0.3531089682456231
2025-02-01,SP_RM,Ajudante,142639,600,4,1,12.0,3.0,SP_RM,1,0.5979802837220485,0.7356122883018645,0.084564976584665
2025-02-01,SP_RM,Coleta/Entrega,142651,940,4,1,12.0,3.0,SP_RM,1,0.5979802837220485,0.5053677510910835,0.12417023575991357
2025-02-01,SP_RM,Coleta/Entrega,142652,940,4,1,9.0,1.0,SP_RM,1,0.7743047206860623,0.287620395224047,0.28552391273119976
2025-02-01,MG,Diária,142656,3640,14,1,3.0,1.0,MG,1,0.8307285405145467,0.07900653868450241,1.0
2025-02-01,SC,Diária,142662,1582,5,1,8.0,4.0,SC,1,0.5874008175042077,0.2795950100351327,0.2223011873259227
2025-02-01,GO,Coleta/Entrega,142669,220,1,1,12.0,2.0,GO,1,0.6402981485934119,0.37576249661379196,0.17985719100671502
2025-02-01,SP,Diária,142672,2275,7,1,5.0,3.0,SP,1,0.6276027891320028,0.2422953414870122,0.2746303600775969
2025-02-01,SP_RM,Diária,142675,1830,6,1,2.0,1.0,SP_RM,1,0.8730464053859102,0.07355419298367283,1.0
2025-02-01,RN,Diária,142680,12200,40,1,5.0,2.0,"(AL, DF, PA, RN, SE)",1,0.6699206540033662,0.03131982361782581,1.0
2025-02-01,MG,Diária,142682,6710,22,1,2.0,1.0,MG,1,0.8730464053859102,0.06202434309491891,1.0
2025-02-01,SC,Ajudante,142690,300,2,1,1.0,1.0,SC,1,1.0,0.09933123172777752,1.0
2025-02-01,PR,Diária,142698,2745,9,0,1.0,1.0,PR,0,0.49218562154364026,0.04774181291913286,1.0
2025-02-01,RS,Coleta/Entrega,142726,1150,5,1,11.0,2.0,RS,1,0.6422216879057465,0.36540420137979496,0.1855856809834707
2025-02-01,SP,Diária,142737,4270,14,1,4.0,1.0,SP,1,0.8095696080788651,0.11586191469061445,0.7448515492783653
2025-02-01,SP,Ajudante,142739,150,1,0,7.0,2.0,SP,0,0.14759729330539617,0.3525525318862389,0.042404766387490536
2025-02-01,SP,Diária,142782,10675,35,1,4.0,2.0,SP,1,0.6826160134647752,0.16909704176278198,0.4293263265215233
2025-02-01,SP_RM,Coleta/Entrega,142794,1830,6,1,5.0,1.0,SP_RM,1,0.796874248617456,0.18310166440786946,0.4630392908472119
2025-02-01,SP_RM,Coleta/Entrega,142796,1830,6,1,4.0,1.0,SP_RM,1,0.8095696080788651,0.15697198170382504,0.5491597174163869
2025-02-01,SP,Ajudante,142804,555,3,0,12.0,2.0,SP,0,0.13248377013705218,0.5024627081873374,0.02583099463967742
2025-02-01,SP,Ajudante,142809,370,2,1,10.0,2.0,SP,1,0.6445299350805482,0.442498637666898,0.15339770666718494
2025-02-01,SC,Coleta/Entrega,142821,1440,6,1,10.0,1.0,SC,1,0.7714835296946381,0.29073969398616023,0.2813975214242235
2025-02-01,SC,Coleta/Entrega,142822,1440,6,1,7.0,1.0,SC,1,0.7823652663758459,0.2178004736497476,0.38176972231699247
2025-02-01,PR,Coleta/Entrega,142823,920,4,1,4.0,1.0,PR,1,0.8095696080788651,0.10674779359468847,0.8086488850217084
2025-02-01,RS,Coleta/Entrega,142827,2420,11,1,11.0,2.0,RS,1,0.6422216879057465,0.36540420137979496,0.1855856809834707
2025-02-01,SP_RM,Ajudante,142833,160,1,0,9.0,2.0,SP_RM,0,0.13953674761561272,0.5223081341025585,0.026203697606172065
2025-02-01,PR,Ajudante,142837,207,1,1,2.0,1.0,PR,1,0.8730464053859102,0.08724315595999724,1.0
2025-02-01,RS,Coleta/Entrega,142838,500,2,1,11.0,1.0,RS,1,0.7691752825198366,0.3029339802582277,0.26916011903989434
2025-02-01,SP_RM,Coleta/Entrega,142849,3050,10,1,12.0,2.0,SP_RM,1,0.6402981485934119,0.4356885972136318,0.1547936863461989
2025-02-01,SP_RM,Ajudante,142853,170,1,1,5.0,1.0,SP_RM,1,0.796874248617456,0.2713620703386688,0.31166663271721434
2025-02-01,SP_RM,Ajudante,142854,170,1,1,11.0,3.0,SP_RM,1,0.5999038230343833,0.6979703787372813,0.08954788359104443
2025-02-01,SP_RM,Ajudante,142855,170,1,1,9.0,2.0,SP_RM,1,0.6473511260719724,0.5223081341025585,0.13017449251905577
2025-02-01,SP_RM,Ajudante,142856,170,1,1,3.0,1.0,SP_RM,1,0.8307285405145467,0.196078251209502,0.4507021572481669
2025-02-01,PR,Diária,142860,1950,6,1,7.0,2.0,PR,1,0.6554116717617559,0.20130186870389322,0.3458112581490781
2025-02-01,MG,Diária,142913,305,1,1,2.0,2.0,MG,1,0.7460928107718201,0.10731019800047498,0.7411416296910326
2025-02-01,SP_RM,Coleta/Entrega,142916,3450,15,1,12.0,1.0,SP_RM,1,0.7672517432075018,0.36600944333618013,0.22180535352768357
2025-02-01,DF,Diária,142981,5795,19,1,5.0,2.0,"(AL, DF, PA, RN, SE)",1,0.6699206540033662,0.0937880439871584,0.7614864019726546
2025-02-01,SP_RM,Diária,142982,610,2,1,17.0,13.0,SP_RM,1,0.5266526608053842,0.9878394452879771,0.05464733280709233
2025-02-01,RS,Ajudante,142983,640,4,1,8.0,2.0,RS,1,0.6508776148112527,0.45617794222633345,0.1502149142914497
2025-02-01,SP_RM,Diária,142992,305,1,1,4.0,5.0,SP_RM,1,0.6064438566963212,0.3199573106259676,0.20032442270824563
2025-02-01,SE,Diária,142995,230,1,1,5.0,1.0,"(AL, DF, PA, RN, SE)",1,0.796874248617456,0.2129515998244899,0.39780241579818026
2025-02-01,PE,Diária,142997,440,2,1,5.0,3.0,PE,1,0.6276027891320028,0.18574269829268536,0.35896657755390754
2025-02-01,SC,Coleta/Entrega,142998,902,4,1,8.0,6.0,SC,1,0.5662418850685261,0.5662878597014969,0.10456429199569468
2025-02-01,SP_RM,Diária,142999,1560,6,1,9.0,3.0,SP_RM,1,0.6050332612006091,0.31347301805643346,0.2040359153614537
